step,infections,symptom_onsets
0,1,0
1,0,1
2,0,0
3,0,0
4,2,0
5,0,2
6,0,0
7,0,0
8,2,0
9,0,2
10,0,0
11,1,0
12,2,1
13,0,2
14,0,0
15,0,0
16,2,0
17,2,2
18,0,2
19,1,0
20,4,1
21,1,4
22,0,1
23,2,0
24,2,2
25,3,2
26,0,3
27,1,0
28,4,1
29,5,4
30,2,5
31,2,2
32,5,2
33,4,5
34,4,4
35,5,4
36,3,5
37,4,3
38,7,4
39,7,7
40,8,7
41,5,8
42,13,5
43,13,13
44,8,13
45,9,8
46,7,9
47,11,7
48,17,11
49,16,17
50,16,16
51,12,16
52,25,12
53,29,25
54,14,29
55,17,14
56,34,17
57,36,34
58,32,36
59,22,32
60,33,22
61,52,33
62,52,52
63,46,52
64,47,46
65,67,47
66,82,67
67,66,82
68,85,66
69,98,85
70,99,98
71,116,99
72,127,116
73,146,127
74,158,146
75,182,158
76,185,182
77,202,185
78,255,202
79,255,255
80,267,255
81,306,267
82,354,306
83,390,354
84,392,390
85,430,392
86,476,430
87,558,476
88,584,558
89,602,584
90,696,602
91,742,696
92,800,742
93,837,800
94,953,837
95,948,953
96,1048,948
97,1105,1048
98,1270,1105
99,1239,1270
100,1212,1239
101,1339,1212
102,1438,1339
103,1465,1438
104,1460,1465
105,1560,1460
106,1599,1560
107,1652,1599
108,1613,1652
109,1667,1613
110,1634,1667
111,1594,1634
112,1578,1594
113,1579,1578
114,1493,1579
115,1422,1493
116,1448,1422
117,1410,1448
118,1302,1410
119,1169,1302
120,1111,1169
121,1091,1111
122,974,1091
123,912,974
124,805,912
125,828,805
126,671,828
127,626,671
128,568,626
129,497,568
130,454,497
131,408,454
132,397,408
133,321,397
134,329,321
135,280,329
136,242,280
137,240,242
138,195,240
139,196,195
140,171,196
141,153,171
142,126,153
143,101,126
144,99,101
145,90,99
146,77,90
147,63,77
148,67,63
149,43,67
150,64,43
151,35,64
152,34,35
153,29,34
154,29,29
155,15,29
156,19,15
157,22,19
158,11,22
159,10,11
160,11,10
161,8,11
162,13,8
163,3,13
164,8,3
165,4,8
166,8,4
167,2,8
168,5,2
169,2,5
170,2,2
171,2,2
172,3,2
173,3,3
174,1,3
175,2,1
176,0,2
177,3,0
178,2,3
179,1,2
180,1,1
181,1,1
182,0,1
183,1,0
184,0,1
185,1,0
186,0,1
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
