step,infections,symptom_onsets
0,1,0
1,0,1
2,0,0
3,0,0
4,2,0
5,0,2
6,0,0
7,0,0
8,2,0
9,0,2
10,0,0
11,2,0
12,2,2
13,1,2
14,0,1
15,3,0
16,5,3
17,3,5
18,3,3
19,4,3
20,7,4
21,8,7
22,6,8
23,14,6
24,11,14
25,15,11
26,21,15
27,26,21
28,26,26
29,30,26
30,39,30
31,45,39
32,40,45
33,57,40
34,80,57
35,78,80
36,103,78
37,113,103
38,162,113
39,155,162
40,196,155
41,247,196
42,288,247
43,325,288
44,400,325
45,463,400
46,569,463
47,655,569
48,738,655
49,886,738
50,1090,886
51,1212,1090
52,1471,1212
53,1624,1471
54,1933,1624
55,2166,1933
56,2452,2166
57,2725,2452
58,3060,2725
59,3414,3060
60,3561,3414
61,3836,3561
62,3929,3836
63,4313,3929
64,4099,4313
65,3994,4099
66,3913,3994
67,3775,3913
68,3398,3775
69,3007,3398
70,2682,3007
71,2454,2682
72,2115,2454
73,1729,2115
74,1428,1729
75,1154,1428
76,944,1154
77,747,944
78,712,747
79,482,712
80,402,482
81,305,402
82,317,305
83,199,317
84,156,199
85,125,156
86,93,125
87,85,93
88,75,85
89,41,75
90,36,41
91,31,36
92,18,31
93,13,18
94,11,13
95,11,11
96,8,11
97,4,8
98,4,4
99,1,4
100,2,1
101,1,2
102,1,1
103,0,1
104,1,0
105,0,1
106,1,0
107,0,1
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
