step,infections,symptom_onsets
0,1,0
1,0,1
2,0,0
3,0,0
4,2,0
5,1,2
6,0,1
7,0,0
8,4,0
9,1,4
10,0,1
11,1,0
12,6,1
13,4,6
14,0,4
15,5,0
16,3,5
17,5,3
18,3,5
19,9,3
20,5,9
21,6,5
22,15,6
23,9,15
24,5,9
25,14,5
26,14,14
27,13,14
28,7,13
29,16,7
30,25,16
31,14,25
32,25,14
33,25,25
34,32,25
35,21,32
36,27,21
37,36,27
38,42,36
39,43,42
40,32,43
41,52,32
42,59,52
43,54,59
44,66,54
45,85,66
46,88,85
47,64,88
48,107,64
49,130,107
50,108,130
51,122,108
52,136,122
53,174,136
54,175,174
55,177,175
56,181,177
57,228,181
58,253,228
59,262,253
60,308,262
61,353,308
62,351,353
63,381,351
64,470,381
65,478,470
66,510,478
67,563,510
68,640,563
69,672,640
70,741,672
71,820,741
72,883,820
73,985,883
74,939,985
75,1064,939
76,1154,1064
77,1184,1154
78,1229,1184
79,1350,1229
80,1379,1350
81,1441,1379
82,1453,1441
83,1539,1453
84,1590,1539
85,1592,1590
86,1679,1592
87,1617,1679
88,1661,1617
89,1688,1661
90,1701,1688
91,1602,1701
92,1601,1602
93,1543,1601
94,1517,1543
95,1550,1517
96,1308,1550
97,1289,1308
98,1275,1289
99,1153,1275
100,1081,1153
101,1003,1081
102,914,1003
103,855,914
104,770,855
105,674,770
106,614,674
107,566,614
108,542,566
109,455,542
110,416,455
111,377,416
112,326,377
113,294,326
114,291,294
115,242,291
116,199,242
117,196,199
118,169,196
119,166,169
120,137,166
121,116,137
122,112,116
123,103,112
124,63,103
125,88,63
126,68,88
127,70,68
128,46,70
129,34,46
130,41,34
131,45,41
132,30,45
133,21,30
134,28,21
135,28,28
136,13,28
137,18,13
138,19,18
139,18,19
140,12,18
141,14,12
142,12,14
143,15,12
144,10,15
145,2,10
146,9,2
147,9,9
148,4,9
149,7,4
150,8,7
151,4,8
152,2,4
153,5,2
154,1,5
155,1,1
156,1,1
157,1,1
158,3,1
159,0,3
160,1,0
161,0,1
162,0,0
163,1,0
164,0,1
165,0,0
166,0,0
167,1,0
168,0,1
169,0,0
170,0,0
171,1,0
172,0,1
173,0,0
174,1,0
175,0,1
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
