step,infections,symptom_onsets
0,1,0
1,0,1
2,0,0
3,0,0
4,2,0
5,1,2
6,0,1
7,0,0
8,4,0
9,2,4
10,0,2
11,2,0
12,8,2
13,7,8
14,1,7
15,7,1
16,13,7
17,12,13
18,9,12
19,16,9
20,18,16
21,22,18
22,22,22
23,19,22
24,37,19
25,43,37
26,46,43
27,49,46
28,90,49
29,85,90
30,88,85
31,121,88
32,143,121
33,189,143
34,164,189
35,244,164
36,290,244
37,323,290
38,384,323
39,471,384
40,570,471
41,641,570
42,779,641
43,916,779
44,1086,916
45,1237,1086
46,1402,1237
47,1725,1402
48,1982,1725
49,2198,1982
50,2445,2198
51,2831,2445
52,3137,2831
53,3425,3137
54,3589,3425
55,3883,3589
56,4081,3883
57,4220,4081
58,4183,4220
59,4144,4183
60,3846,4144
61,3791,3846
62,3437,3791
63,3080,3437
64,2587,3080
65,2378,2587
66,2063,2378
67,1614,2063
68,1346,1614
69,1178,1346
70,925,1178
71,726,925
72,570,726
73,478,570
74,353,478
75,289,353
76,237,289
77,177,237
78,145,177
79,127,145
80,109,127
81,61,109
82,56,61
83,44,56
84,38,44
85,31,38
86,22,31
87,24,22
88,13,24
89,17,13
90,10,17
91,11,10
92,3,11
93,4,3
94,6,4
95,4,6
96,2,4
97,2,2
98,1,2
99,4,1
100,0,4
101,0,0
102,0,0
103,1,0
104,0,1
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
