step,infections,symptom_onsets
0,1,0
1,0,1
2,0,0
3,0,0
4,3,0
5,0,3
6,0,0
7,0,0
8,5,0
9,1,5
10,0,1
11,5,0
12,12,5
13,6,12
14,5,6
15,21,5
16,30,21
17,27,30
18,24,27
19,61,24
20,79,61
21,106,79
22,95,106
23,178,95
24,249,178
25,276,249
26,336,276
27,494,336
28,702,494
29,855,702
30,1052,855
31,1467,1052
32,1954,1467
33,2345,1954
34,2957,2345
35,3837,2957
36,4798,3837
37,5514,4798
38,6694,5514
39,7735,6694
40,8140,7735
41,8371,8140
42,8341,8371
43,7588,8341
44,6314,7588
45,4857,6314
46,3582,4857
47,2488,3582
48,1544,2488
49,1053,1544
50,647,1053
51,417,647
52,279,417
53,133,279
54,83,133
55,63,83
56,37,63
57,21,37
58,11,21
59,7,11
60,7,7
61,7,7
62,0,7
63,1,0
64,1,1
65,1,1
66,0,1
67,1,0
68,0,1
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
